RandomID,Sel_50,Score
ID_225,1,0.800119019
ID_8353,1,0.799030685
ID_4766,1,0.7943288
ID_14569,1,0.794186306
ID_13138,1,0.793759251
ID_6110,1,0.79360528
ID_9018,1,0.793046141
ID_12079,1,0.792440891
ID_38,1,0.792320967
ID_11466,1,0.791632652
ID_4575,1,0.78994703
ID_7123,1,0.788787079
ID_13026,1,0.78660183
ID_3527,1,0.7861271
ID_3841,1,0.78475456
ID_1526,1,0.784124947
ID_12967,1,0.784072971
ID_7486,1,0.783900309
ID_6962,1,0.783536911
ID_7582,1,0.783482838
ID_5627,1,0.783248329
ID_12032,1,0.782689571
ID_8093,1,0.782494783
ID_2325,1,0.7819847
ID_2292,1,0.78147526
ID_5211,1,0.7804879
ID_13276,1,0.780456352
ID_9494,1,0.779777718
ID_12064,1,0.779721642
ID_6826,1,0.779648781
ID_14052,1,0.779102135
ID_13104,1,0.77863431
ID_8614,1,0.778597689
ID_14442,1,0.778180647
ID_6077,1,0.778161526
ID_4348,1,0.77731733
ID_163,1,0.776985264
ID_6796,1,0.776962137
ID_9100,1,0.776565599
ID_11676,1,0.776227999
ID_1475,1,0.776000452
ID_13888,1,0.77561121
ID_300,1,0.775451231
ID_1578,1,0.775102615
ID_12459,1,0.774856949
ID_353,1,0.774409437
ID_7172,1,0.774234867
ID_2753,1,0.77420025
ID_6539,1,0.773834515
ID_2393,1,0.77305098
